,[job_title],[location],[company],[senior_level]
1314,Lead Data Scientist,AETNA,"New York, NY 10016 (Gramercy area)",yes
1315,Data Science Instructor - D & I,Elder Research Inc,"Chantilly, VA 20151",yes
1316,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
1317,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1318,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
1319,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1320,"VP, Data Science",HBO Max,"New York, NY",yes
1321,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1322,Head of Data Science,BioTrillion,"San Francisco, CA",yes
1323,"Executive Director, Scientific Informatics & Data Science",Merck,"Cambridge, MA",yes
1324,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
1325,"Product Analytics Lead, Data Science",Google,"New York, NY 10011 (Chelsea area)",yes
1326,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1327,Director of Data Science Initiative (new posting),Atlanta University Center Consortium,United States,yes
1328,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
1329,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
1330,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1331,Director of Data Science Experience,DataRobot,"Boston, MA",yes
1332,Senior Data Scientist,1 Point System,"Atlanta, GA",yes
1333,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1334,Senior Data Scientist,"Axtria, Inc.","Berkeley Heights, NJ",yes
1335,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1336,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
1337,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1338,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1339,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1340,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1341,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
1342,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
